locus_tag	ftype	length_bp	gene	EC_number	COG	product
1617.00_02469	CDS	465				hypothetical protein
1617.00_02470	CDS	1425	trkG		COG0168	Trk system potassium uptake protein TrkG
1617.00_02471	CDS	789				hypothetical protein
1617.00_02472	CDS	933				hypothetical protein
1617.00_02473	CDS	210				hypothetical protein
1617.00_02474	CDS	1095				hypothetical protein
1617.00_02475	CDS	1302				hypothetical protein
1617.00_02476	CDS	1407				hypothetical protein
1617.00_02477	CDS	1116				hypothetical protein
1617.00_02478	CDS	765				hypothetical protein
1617.00_02479	CDS	1140				hypothetical protein
1617.00_02480	CDS	177				hypothetical protein
1617.00_02481	CDS	396				hypothetical protein
1617.00_02482	CDS	384				hypothetical protein
1617.00_02483	CDS	381				hypothetical protein
1617.00_02484	CDS	393				hypothetical protein
1617.00_02485	CDS	963				hypothetical protein
1617.00_02486	CDS	450				hypothetical protein
1617.00_02487	CDS	3234				hypothetical protein
1617.00_02488	CDS	297				hypothetical protein
1617.00_02489	CDS	699				hypothetical protein
1617.00_02490	CDS	600				hypothetical protein
1617.00_02491	CDS	549				hypothetical protein
1617.00_02492	CDS	3396				hypothetical protein
1617.00_02493	CDS	600	ompX_3		COG3637	Outer membrane protein X
	sig_peptide	75				putative signal peptide
1617.00_02494	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
1617.00_02495	CDS	114				hypothetical protein
1617.00_02496	CDS	450				hypothetical protein
1617.00_02497	CDS	336				hypothetical protein
1617.00_02498	CDS	639	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
1617.00_02499	CDS	462	nudJ	3.6.1.-		Phosphatase NudJ
1617.00_02500	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
1617.00_02501	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
1617.00_02502	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
1617.00_02503	CDS	672	phoP			Transcriptional regulatory protein PhoP
1617.00_02504	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
1617.00_02505	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
1617.00_02506	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
1617.00_02507	CDS	1137	potA_2	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
1617.00_02508	CDS	864	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
1617.00_02509	CDS	267				hypothetical protein
1617.00_02510	CDS	657				hypothetical protein
1617.00_02511	CDS	1830				hypothetical protein
1617.00_02512	CDS	600	ompX_4		COG3637	Outer membrane protein X
	sig_peptide	75				putative signal peptide
1617.00_02513	CDS	3396				hypothetical protein
1617.00_02514	CDS	543				hypothetical protein
1617.00_02515	CDS	600				hypothetical protein
1617.00_02516	CDS	699				hypothetical protein
1617.00_02517	CDS	330				hypothetical protein
1617.00_02518	CDS	3075				hypothetical protein
1617.00_02519	CDS	318				hypothetical protein
1617.00_02520	CDS	387				hypothetical protein
1617.00_02521	CDS	744				hypothetical protein
1617.00_02522	CDS	402				hypothetical protein
1617.00_02523	CDS	579				hypothetical protein
1617.00_02524	CDS	276				hypothetical protein
1617.00_02525	CDS	324				hypothetical protein
1617.00_02526	CDS	2061	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
1617.00_02527	CDS	1506				hypothetical protein
1617.00_02528	CDS	213				hypothetical protein
1617.00_02529	CDS	2103				hypothetical protein
1617.00_02530	CDS	495				hypothetical protein
1617.00_02531	CDS	852				hypothetical protein
1617.00_02532	CDS	153				hypothetical protein
1617.00_02533	CDS	534				hypothetical protein
	sig_peptide	72				putative signal peptide
1617.00_02534	CDS	273				hypothetical protein
1617.00_02535	CDS	345				hypothetical protein
1617.00_02536	CDS	216				hypothetical protein
1617.00_02537	tRNA	75				tRNA-Gly(tcc)
1617.00_02538	tRNA	76				tRNA-Thr(tgt)
1617.00_02539	tRNA	77				tRNA-Lys(ttt)
1617.00_02540	tRNA	76				tRNA-Met(cat)
1617.00_02541	CDS	690				hypothetical protein
1617.00_02542	CDS	360	rusA_2	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
1617.00_02543	CDS	1050				hypothetical protein
1617.00_02544	CDS	273				hypothetical protein
1617.00_02545	CDS	174				hypothetical protein
1617.00_02546	CDS	213				hypothetical protein
1617.00_02547	CDS	1092				hypothetical protein
1617.00_02548	CDS	429				hypothetical protein
1617.00_02549	CDS	642				hypothetical protein
1617.00_02550	CDS	522				hypothetical protein
1617.00_02551	CDS	312				hypothetical protein
1617.00_02552	CDS	255				hypothetical protein
1617.00_02553	CDS	423				hypothetical protein
1617.00_02554	CDS	762				hypothetical protein
1617.00_02555	CDS	423				hypothetical protein
1617.00_02556	CDS	1041	dnaT_3			Primosomal protein 1
1617.00_02557	CDS	426				hypothetical protein
1617.00_02558	CDS	276				hypothetical protein
1617.00_02559	CDS	462				hypothetical protein
1617.00_02560	CDS	153				hypothetical protein
1617.00_02561	CDS	375				hypothetical protein
1617.00_02562	CDS	222				hypothetical protein
1617.00_02563	CDS	189				hypothetical protein
1617.00_02564	CDS	192				hypothetical protein
1617.00_02565	CDS	2472				hypothetical protein
1617.00_02566	CDS	270				hypothetical protein
1617.00_02567	CDS	1119				hypothetical protein
1617.00_02568	CDS	795	ydcV_2			Inner membrane ABC transporter permease protein YdcV
1617.00_02569	CDS	1047	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
	sig_peptide	72				putative signal peptide
1617.00_02570	CDS	459				IS200/IS605 family transposase IS200C
1617.00_02571	CDS	462	ymfA			Inner membrane protein YmfA
1617.00_02572	CDS	786	ycfZ			Inner membrane protein YcfZ
1617.00_02573	CDS	240				hypothetical protein
1617.00_02574	CDS	822	cobB	3.5.1.-	COG0846	NAD-dependent protein deacylase
1617.00_02575	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
1617.00_02576	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
1617.00_02577	CDS	702	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
1617.00_02578	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
1617.00_02579	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
1617.00_02580	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
1617.00_02581	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
	sig_peptide	84				putative signal peptide
1617.00_02582	CDS	258	bhsA_3			Multiple stress resistance protein BhsA
	sig_peptide	69				putative signal peptide
1617.00_02583	CDS	696	comR			HTH-type transcriptional repressor ComR
1617.00_02584	CDS	540				hypothetical protein
1617.00_02585	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
1617.00_02586	CDS	543				hypothetical protein
1617.00_02587	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
1617.00_02588	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
1617.00_02589	CDS	642	lpoB		COG3417	Penicillin-binding protein activator LpoB
	sig_peptide	72				putative signal peptide
1617.00_02590	CDS	378				hypothetical protein
1617.00_02591	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
1617.00_02592	CDS	2190	fhuE		COG4773	FhuE receptor
	sig_peptide	111				putative signal peptide
1617.00_02593	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
1617.00_02594	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
1617.00_02595	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
1617.00_02596	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
1617.00_02597	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
1617.00_02598	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
1617.00_02599	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
1617.00_02600	CDS	237	acpP_2		COG0236	Acyl carrier protein
1617.00_02601	CDS	735	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
1617.00_02602	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
1617.00_02603	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
1617.00_02604	CDS	1041	plsX	2.3.1.-	COG0416	Phosphate acyltransferase
1617.00_02605	CDS	174	rpmF		COG0333	50S ribosomal protein L32
1617.00_02606	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
1617.00_02607	CDS	624	yceF		COG0424	Maf-like protein YceF
1617.00_02608	CDS	960	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
1617.00_02609	CDS	3186	rne	3.1.26.12	COG1530	Ribonuclease E
1617.00_02610	CDS	294				hypothetical protein
1617.00_02611	CDS	495				hypothetical protein
1617.00_02612	CDS	954	flgL		COG1344	Flagellar hook-associated protein 3
1617.00_02613	CDS	1644	flgK		COG1256	Flagellar hook-associated protein 1
1617.00_02614	CDS	942	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
1617.00_02615	CDS	1098	flgI			Flagellar P-ring protein
	sig_peptide	60				putative signal peptide
1617.00_02616	CDS	699	flgH			Flagellar L-ring protein
	sig_peptide	72				putative signal peptide
1617.00_02617	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
1617.00_02618	CDS	756	flgF		COG4787	Flagellar basal-body rod protein FlgF
1617.00_02619	CDS	1206	flgE		COG1749	Flagellar hook protein FlgE
1617.00_02620	CDS	696	flgD		COG1843	Basal-body rod modification protein FlgD
1617.00_02621	CDS	405	flgC		COG1558	Flagellar basal-body rod protein FlgC
1617.00_02622	CDS	417	flgB		COG1815	Flagellar basal body rod protein FlgB
1617.00_02623	CDS	660	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
	sig_peptide	66				putative signal peptide
1617.00_02624	CDS	294	flgM		COG2747	Negative regulator of flagellin synthesis
1617.00_02625	CDS	417	flgN		COG3418	Flagella synthesis protein FlgN
1617.00_02626	CDS	1536	murJ		COG0728	Lipid II flippase MurJ
1617.00_02627	CDS	924	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
1617.00_02628	CDS	648				hypothetical protein
1617.00_02629	CDS	585	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
1617.00_02630	CDS	1209	mdtH			Multidrug resistance protein MdtH
1617.00_02631	CDS	648	grxB		COG2999	Glutaredoxin 2
1617.00_02632	CDS	561	yceB			putative lipoprotein YceB
1617.00_02633	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
1617.00_02634	CDS	246	dinI			DNA damage-inducible protein I
1617.00_02635	CDS	255	bssS			Biofilm regulator BssS
1617.00_02636	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
1617.00_02637	CDS	114	yceO			putative protein YceO
1617.00_02638	CDS	567	yceJ		COG3038	Cytochrome b561 
1617.00_02639	CDS	576	yceI		COG2353	Protein YceI
	sig_peptide	69				putative signal peptide
1617.00_02640	CDS	1053				hypothetical protein
1617.00_02641	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
1617.00_02642	CDS	1227	mdtG_2			Multidrug resistance protein MdtG
1617.00_02643	CDS	375				hypothetical protein
1617.00_02644	CDS	228				hypothetical protein
1617.00_02645	CDS	2514	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
1617.00_02646	CDS	1503	mdoG		COG3131	Glucans biosynthesis protein G
1617.00_02647	CDS	1158	mdoC	2.1.-.-		Glucans biosynthesis protein C
1617.00_02648	CDS	1482	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
1617.00_02649	CDS	534	ymdB	3.5.1.-	COG2110	O-acetyl-ADP-ribose deacetylase
1617.00_02650	CDS	312	ymdA			putative protein YmdA
	sig_peptide	69				putative signal peptide
1617.00_02651	CDS	333	csgC			Curli assembly protein CsgC
1617.00_02652	CDS	456	csgA			Major curlin subunit
	sig_peptide	63				putative signal peptide
1617.00_02653	CDS	456	csgB			Minor curlin subunit
	sig_peptide	66				putative signal peptide
1617.00_02654	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
1617.00_02655	CDS	390	csgE			Curli production assembly/transport component CsgE
	sig_peptide	69				putative signal peptide
1617.00_02656	CDS	417	csgF			Curli production assembly/transport component CsgF
	sig_peptide	60				putative signal peptide
1617.00_02657	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
	sig_peptide	60				putative signal peptide
1617.00_02658	CDS	522	ycdZ			Inner membrane protein YcdZ
1617.00_02659	CDS	555	ycdY		COG3381	Chaperone protein YcdY
1617.00_02660	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
1617.00_02661	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
1617.00_02662	tRNA	88				tRNA-Ser(gga)
1617.00_02663	CDS	105				hypothetical protein
1617.00_02664	CDS	1368	dgcT	2.7.7.65		putative diguanylate cyclase DgcT
1617.00_02665	CDS	2424	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
	sig_peptide	102				putative signal peptide
1617.00_02666	CDS	2019	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
1617.00_02667	CDS	1326	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
1617.00_02668	CDS	414	pgaD			Biofilm PGA synthesis protein PgaD
1617.00_02669	CDS	789	phoH		COG1702	Protein PhoH
1617.00_02670	CDS	297				hypothetical protein
1617.00_02671	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
1617.00_02672	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
	sig_peptide	81				putative signal peptide
1617.00_02673	CDS	831	efeU		COG0672	Ferrous iron permease EfeU
1617.00_02674	CDS	1509	putP		COG0591	Sodium/proline symporter
1617.00_02675	CDS	210				hypothetical protein
1617.00_02676	CDS	3963	putA		COG0506	Bifunctional protein PutA
1617.00_02677	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
1617.00_02678	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
1617.00_02679	CDS	696	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
1617.00_02680	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
1617.00_02681	CDS	801	rutD	3.5.1.-	COG0596	Putative aminoacrylate hydrolase RutD
1617.00_02682	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
1617.00_02683	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
1617.00_02684	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
1617.00_02685	CDS	174				hypothetical protein
1617.00_02686	CDS	597		1.6.5.2		NAD(P)H dehydrogenase (quinone)
1617.00_02687	CDS	228	yccJ			putative protein YccJ
1617.00_02688	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
	sig_peptide	69				putative signal peptide
1617.00_02689	CDS	1257				hypothetical protein
1617.00_02690	CDS	921	cbpA		COG2214	Curved DNA-binding protein
1617.00_02691	CDS	306	cbpM			Chaperone modulatory protein CbpM
1617.00_02692	CDS	600	torD		COG3381	Chaperone protein TorD
1617.00_02693	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
1617.00_02694	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
1617.00_02695	CDS	207	torR_1		COG0745	TorCAD operon transcriptional regulatory protein TorR
1617.00_02696	CDS	474	torR_2		COG0745	TorCAD operon transcriptional regulatory protein TorR
1617.00_02697	CDS	1029	torT		COG1879	Periplasmic protein TorT
	sig_peptide	57				putative signal peptide
1617.00_02698	CDS	2700	torS	2.7.13.3	COG0784	Sensor protein TorS
1617.00_02699	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
1617.00_02700	CDS	174	gnsA			Protein GnsA
1617.00_02701	CDS	213	cspG		COG1278	Cold shock-like protein CspG
1617.00_02702	CDS	1311	appA			Periplasmic AppA protein
	sig_peptide	69				putative signal peptide
1617.00_02703	CDS	1137	appB	1.10.3.10	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
1617.00_02704	CDS	1545	appC	1.10.3.10	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
1617.00_02705	CDS	858				hypothetical protein
1617.00_02706	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
1617.00_02707	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
1617.00_02708	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
1617.00_02709	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
1617.00_02710	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
1617.00_02711	tRNA	88				tRNA-Ser(tga)
1617.00_02712	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
1617.00_02713	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
1617.00_02714	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
1617.00_02715	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
1617.00_02716	CDS	318	hspQ		COG3785	Heat shock protein HspQ
1617.00_02717	CDS	414	yccU		COG1832	putative protein YccU
1617.00_02718	CDS	663				hypothetical protein
	sig_peptide	63				putative signal peptide
1617.00_02719	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
1617.00_02720	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
1617.00_02721	CDS	447	yccF		COG3304	Inner membrane protein YccF
1617.00_02722	CDS	2163	yccS		COG1289	Inner membrane protein YccS
1617.00_02723	CDS	630	sxy		COG3070	Protein Sxy
1617.00_02724	CDS	510	sulA		COG5404	Cell division inhibitor SulA
1617.00_02725	CDS	1053	ompA		COG2885	Outer membrane protein A
	sig_peptide	66				putative signal peptide
1617.00_02726	CDS	453	matP		COG3120	Macrodomain Ter protein
1617.00_02727	CDS	1761	lon_1	3.4.21.53		Lon protease
1617.00_02728	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
1617.00_02729	CDS	168	rmf		COG3130	Ribosome modulation factor
1617.00_02730	CDS	564				hypothetical protein
1617.00_02731	CDS	1641	pqiB		COG3008	Paraquat-inducible protein B
1617.00_02732	CDS	1254	pqiA		COG2995	Paraquat-inducible protein A
1617.00_02733	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
1617.00_02734	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
1617.00_02735	CDS	1110	ycbX		COG0633	putative protein YcbX
1617.00_02736	CDS	543	zapC			Cell division protein ZapC
1617.00_02737	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
1617.00_02738	CDS	690	ycbF_1		COG3121	putative fimbrial chaperone YcbF
1617.00_02739	CDS	513	ycbV_1		COG3539	putative fimbrial-like protein YcbV
	sig_peptide	66				putative signal peptide
1617.00_02740	CDS	543	ycbU_1		COG3539	putative fimbrial-like protein YcbU
	sig_peptide	75				putative signal peptide
1617.00_02741	CDS	1071	elfG		COG3539	putative fimbrial-like protein ElfG
	sig_peptide	93				putative signal peptide
1617.00_02742	CDS	2601	elfC_1		COG3188	putative outer membrane usher protein ElfC
1617.00_02743	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
	sig_peptide	81				putative signal peptide
1617.00_02744	CDS	540	elfA			Laminin-binding fimbrial subunit ElfA
	sig_peptide	66				putative signal peptide
1617.00_02745	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
1617.00_02746	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
	sig_peptide	66				putative signal peptide
1617.00_02747	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
1617.00_02748	CDS	795	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
1617.00_02749	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
1617.00_02750	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
1617.00_02751	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
1617.00_02752	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
1617.00_02753	CDS	444	yjaB_1	2.3.1.-	COG0454	putative N-acetyltransferase YjaB
1617.00_02754	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
1617.00_02755	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
1617.00_02756	CDS	1305	aceA	4.1.3.1	COG2224	Isocitrate lyase
1617.00_02757	CDS	1737	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
1617.00_02758	CDS	2187				hypothetical protein
1617.00_02759	CDS	825	iclR		COG1414	Transcriptional repressor IclR
1617.00_02760	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
1617.00_02761	CDS	1632				hypothetical protein
1617.00_02762	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
1617.00_02763	CDS	1230	yggP_2	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
1617.00_02764	CDS	825	sorM		COG3716	PTS system sorbose-specific EIID component
1617.00_02765	CDS	798	sorA		COG3715	PTS system sorbose-specific EIIC component
1617.00_02766	CDS	495	sorB_2	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
1617.00_02767	CDS	408	sorF		COG2893	PTS system sorbose-specific EIIA component
1617.00_02768	CDS	807	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
1617.00_02769	CDS	948	sorC		COG2390	Sorbitol operon regulator
1617.00_02770	CDS	873	rluF	5.4.99.21	COG1187	23S rRNA pseudouridine(2604) synthase
1617.00_02771	CDS	273				hypothetical protein
1617.00_02772	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
1617.00_02773	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
1617.00_02774	CDS	243				hypothetical protein
	sig_peptide	66				putative signal peptide
1617.00_02775	CDS	639	gfcB			putative lipoprotein GfcB
	sig_peptide	63				putative signal peptide
1617.00_02776	CDS	738				hypothetical protein
	sig_peptide	63				putative signal peptide
1617.00_02777	CDS	2097				hypothetical protein
	sig_peptide	63				putative signal peptide
1617.00_02778	CDS	411	psiE		COG3223	Protein PsiE
1617.00_02779	CDS	891	malG		COG3833	Maltose transport system permease protein MalG
1617.00_02780	CDS	1545	malF		COG1175	Maltose transport system permease protein MalF
1617.00_02781	CDS	1191	malE		COG2182	Maltose-binding periplasmic protein
	sig_peptide	81				putative signal peptide
1617.00_02782	CDS	1116	malK	3.6.3.19	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
1617.00_02783	CDS	1341	lamB		COG4580	Maltoporin
	sig_peptide	78				putative signal peptide
1617.00_02784	CDS	921				hypothetical protein
	sig_peptide	81				putative signal peptide
1617.00_02785	CDS	1581				hypothetical protein
1617.00_02786	CDS	498	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
1617.00_02787	CDS	873	ubiA	2.5.1.-	COG0382	4-hydroxybenzoate octaprenyltransferase
1617.00_02788	CDS	2424	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
1617.00_02789	CDS	369	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
1617.00_02790	CDS	609	lexA_2	3.4.21.88	COG1974	LexA repressor
1617.00_02791	CDS	1326	dinF		COG0534	DNA damage-inducible protein F
1617.00_02792	CDS	210				hypothetical protein
1617.00_02793	CDS	516	zur		COG0735	Zinc uptake regulation protein
1617.00_02794	CDS	1005				hypothetical protein
1617.00_02795	CDS	1038	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
1617.00_02796	CDS	243	pspG			Phage shock protein G
1617.00_02797	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
1617.00_02798	CDS	1416	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
1617.00_02799	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
1617.00_02800	CDS	1194	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
1617.00_02801	CDS	504				hypothetical protein
1617.00_02802	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
	sig_peptide	78				putative signal peptide
1617.00_02803	CDS	417				hypothetical protein
1617.00_02804	CDS	357	yjbR		COG2315	putative protein YjbR
1617.00_02805	CDS	2823	uvrA		COG0178	UvrABC system protein A
1617.00_02806	CDS	537	ssb_1		COG0629	Single-stranded DNA-binding protein
1617.00_02807	CDS	282				hypothetical protein
1617.00_02808	CDS	1587	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
1617.00_02809	CDS	324	soxS			Regulatory protein SoxS
1617.00_02810	CDS	465	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
1617.00_02811	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
1617.00_02812	CDS	1650	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
1617.00_02813	CDS	1293				hypothetical protein
1617.00_02814	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
	sig_peptide	57				putative signal peptide
1617.00_02815	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
1617.00_02816	CDS	1959	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
1617.00_02817	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
	sig_peptide	81				putative signal peptide
1617.00_02818	CDS	567	nrfB			Cytochrome c-type protein NrfB
	sig_peptide	99				putative signal peptide
1617.00_02819	CDS	672	ydhX_2		COG0437	putative ferredoxin-like protein YdhX
1617.00_02820	CDS	957				hypothetical protein
1617.00_02821	CDS	1623	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
1617.00_02822	CDS	384	ccmH_2		COG3088	Cytochrome c-type biogenesis protein CcmH
	sig_peptide	57				putative signal peptide
1617.00_02823	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
1617.00_02824	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
1617.00_02825	CDS	690				hypothetical protein
	sig_peptide	54				putative signal peptide
1617.00_02826	CDS	1680	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
1617.00_02827	CDS	420	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
1617.00_02828	CDS	1467	cusC_1		COG1538	Cation efflux system protein CusC
1617.00_02829	CDS	2052	mdtO		COG1289	Multidrug resistance protein MdtO
1617.00_02830	CDS	1032	mdtN		COG1566	Multidrug resistance protein MdtN
1617.00_02831	CDS	276				hypothetical protein
1617.00_02832	CDS	1986	yjcS_2	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
	sig_peptide	90				putative signal peptide
1617.00_02833	CDS	930	alsK	2.7.1.55	COG1940	D-allose kinase
1617.00_02834	CDS	696	alsE	5.1.3.-	COG0036	D-allulose-6-phosphate 3-epimerase
